Civilisation,Ship Type,Name,Class,Comments
Culture,GSV,"Anticipation Of A New Lover's Arrival, The",Plate,
Culture,GSV,Death And Gravity,,"Its name is a play on the adage that only death and taxes are inevitable; ""taxes"" are replaced with gravity, since the Culture doesn't have taxes (or money)."
Culture,GSV,Ethics Gradient,Range,"Parent ship of the Fate Amenable To Change. References ethical relativism, where no moral position is absolute."
Culture,GSV,Honest Mistake,,Parent ship of the Grey Area.
Culture,GSV,Limivorous,Ocean,"""of or relating to animals, usually worms or bivalves, that ingest earth or mud to extract the organic matter from it."" Unflattering view of non-Mind entities if this is how it sees its relationship with the ship's organic complement."
Culture,GSV,Uninvited Guest,,
Culture,GSV,Use Psychology,,
Culture,GSV,What Is The Answer And Why?,,
Culture,GSV,Wisdom Like Silence,Continent,Controlled by three Minds.
Culture,GSV,Yawning Angel,Range,"Top speed 146,000 x light-speed."
Culture,GSV,Zero Gravitas,,"Part of the ""... Gravitas ..."" running gag.[7]"
Culture,MSV,Not Invented Here,Desert,"The Desert class was originally a GSV class that was demoted to MSV as Culture ship sizes grew. The Not Invented Here is usually termed an MSV, but is also referred to as an actual GSV twice (Genar-Hofoen is told that the NIH was a GSV by Tishlin, and he subsequently refers to it as a GSV even after knowing that it is now an MSV), while towards the end of the book it is referred to as an LSV by the Sleeper Service and in authorial narration. Accounts of its history are also contradictory: at one point, characters indicate that the NIH is generally believed (even within Special Circumstances) to have been destroyed five centuries earlier; at another, the narration states that it has always remained an apparently normal part of the Culture, with a very well-documented past."
Culture,LSV,Misophist,,"A Sophist is ""a person who reasons with clever but false arguments.""[citation needed]  A Misophist is presumably someone who dislikes sophists."
Culture,LSV,Serious Callers Only,Tundra,
Culture,GCV,Steely Glint,Plains,Parent ship of the Attitude Adjuster.
Culture,GCU,Different Tan,Mountain,
Culture,GCU,Fate Amenable To Change,Escarpment,Child ship of the Ethics Gradient.
Culture,GCU,Grey Area (aka Meatfucker),,"Ostracised for non-consensual mindreading of biological individuals, earning it the condemnation of other ships, who then ignored its chosen name in favor of Meatfucker.  Child ship of the Honest Mistake. Also mentioned in Look to Windward."
Culture,GCU,It's Character Forming,,
Culture,GCU,Jaundiced Outlook,Ridge,Child ship of the Sleeper Service.
Culture,GCU,Problem Child,Troubadour,"Early (vs Excession-contemporary) GCU, historical mention. Nominally captained by Zreyn Tramow."
Culture,GCU,Reasonable Excuse,,
Culture,GCU,Recent Convert,,
Culture,GCU,Tactical Grace,Escarpment,
Culture,GCU,Unacceptable Behaviour,,Child ship of the Quietly Confident (Sleeper Service).
Culture,LOU,Attitude Adjuster,Killer,"Nominally demilitarised, but in fact a fully armed warship.  Child ship of the Steely Glint.  Class possibly downgraded from ROU (designated as such in Consider Phlebas, set five centuries earlier)."
Culture,ROU,Heavy Messing,Gangster,"An allusion to a term from Glaswegian, or from Ned-ese. Generally if one is said to be ""heavy messing"" they are considered by an aggrieved party to be interfering or aggravating a situation in which they have little to no stake in."
Culture,ROU,Killing Time,Torturer,"A pun on a saying that 99% of war is just killing time, while the rest is the killing time."
Culture,ROU,Frank Exchange Of Views,Psychopath,"Nominally demilitarised, but in fact a fully armed warship. References the diplomatic language commonly used to describe a blazing argument."
Culture,OU,T3OU 4,Type Three,"Non-standard design, based on Inquisitor-class prototype. Child ships of the Sleeper Service. Controlled by semi-slaved AIs rather than independent Minds."
Culture,OU,T3OU 118,Type Three,"Non-standard design, based on Inquisitor-class prototype. Child ships of the Sleeper Service. Controlled by semi-slaved AIs rather than independent Minds."
Culture,OU,T3OU 736,Type Three,"Non-standard design, based on Inquisitor-class prototype. Child ships of the Sleeper Service. Controlled by semi-slaved AIs rather than independent Minds."
Culture,Superlifter,Charitable View,Cliff,"Top sprint speed 221,000 x light-speed (faster than contemporary ROUs)."
Culture,Cruise Ship,Just Passing Through,,
Culture,,I Blame My Mother,,
Culture,,I Blame Your Mother,,
Culture Convertcraft,Main Battle Unit,Full Refund (formerly MBU 604),Empire,"Former Homomdan MBU, now Culture Convertcraft"
